Step        Dt          Time        Progress    
447         0.0001      0.0442095   44%         
448         0.0001      0.0443095   44%         
449         0.0001      0.0444095   44%         
450         0.0001      0.0445095   44%         
451         0.0001      0.0446095   44%         
452         0.0001      0.0447095   44%         
453         0.0001      0.0448095   44%         
454         0.0001      0.0449095   44%         
455         0.0001      0.0450095   45%         
456         0.0001      0.0451095   45%         
457         0.0001      0.0452095   45%         
458         0.0001      0.0453095   45%         
459         0.0001      0.0454095   45%         
460         0.0001      0.0455095   45%         
461         0.0001      0.0456095   45%         
462         0.0001      0.0457095   45%         
463         0.0001      0.0458095   45%         
464         0.0001      0.0459095   45%         
465         0.0001      0.0460095   46%         
466         0.0001      0.0461095   46%         
467         0.0001      0.0462095   46%         
468         0.0001      0.0463095   46%         
469         0.0001      0.0464095   46%         
470         0.0001      0.0465095   46%         
471         0.0001      0.0466095   46%         
472         0.0001      0.0467095   46%         
473         0.0001      0.0468095   46%         
474         0.0001      0.0469095   46%         
475         0.0001      0.0470095   47%         
476         0.0001      0.0471095   47%         
477         0.0001      0.0472095   47%         
478         0.0001      0.0473095   47%         
479         0.0001      0.0474095   47%         
480         0.0001      0.0475095   47%         
481         0.0001      0.0476095   47%         
482         0.0001      0.0477095   47%         
483         0.0001      0.0478095   47%         
484         0.0001      0.0479095   47%         
485         0.0001      0.0480095   48%         
486         0.0001      0.0481095   48%         
487         0.0001      0.0482095   48%         
488         0.0001      0.0483095   48%         
489         0.0001      0.0484095   48%         
490         0.0001      0.0485095   48%         
491         0.0001      0.0486095   48%         
492         0.0001      0.0487095   48%         
493         0.0001      0.0488095   48%         
494         0.0001      0.0489095   48%         
495         0.0001      0.0490095   49%         
496         0.0001      0.0491095   49%         
497         0.0001      0.0492095   49%         
498         0.0001      0.0493095   49%         
499         0.0001      0.0494095   49%         
500         0.0001      0.0495095   49%         
501         0.0001      0.0496095   49%         
502         0.0001      0.0497095   49%         
503         0.0001      0.0498095   49%         
504         0.0001      0.0499095   49%         
505         0.0001      0.0500095   50%         
506         0.0001      0.0501095   50%         
507         0.0001      0.0502095   50%         
508         0.0001      0.0503095   50%         
509         0.0001      0.0504095   50%         
510         0.0001      0.0505095   50%         
511         0.0001      0.0506095   50%         
512         0.0001      0.0507095   50%         
513         0.0001      0.0508095   50%         
514         0.0001      0.0509095   50%         
515         0.0001      0.0510095   51%         
516         0.0001      0.0511095   51%         
517         0.0001      0.0512095   51%         
518         0.0001      0.0513095   51%         
519         0.0001      0.0514095   51%         
520         0.0001      0.0515095   51%         
521         0.0001      0.0516095   51%         
522         0.0001      0.0517095   51%         
523         0.0001      0.0518095   51%         
524         0.0001      0.0519095   51%         
525         0.0001      0.0520095   52%         
526         0.0001      0.0521095   52%         
527         0.0001      0.0522095   52%         
528         0.0001      0.0523095   52%         
529         0.0001      0.0524095   52%         
530         0.0001      0.0525095   52%         
